,organization_element,education_element,radiologist_id
0,University of Cincinnati Medical Center Inc.,Residency,/doctors/ivan-rosen-472665
1,University of Cincinnati Medical Center Inc.,Residency,/doctors/ivan-rosen-472665
2,University of Texas Southwestern Medical Center,Internship,/doctors/ivan-rosen-472665
4,UCLA David Geffen School of Medicine/UCLA Medical Center,Residency,/doctors/omid-bendavid-706939
5,University of California (Irvine),Internship,/doctors/omid-bendavid-706939
6,Arrowhead Regional Medical Center,"Internship, Arrowhead Regional Medical Center",/doctors/omid-bendavid-706939
7,University of Vermont College of Medicine,Residency,/doctors/omid-bendavid-706939
8,William Beaumont Hospital,Residency,/doctors/joshua-friedlander-845573
11,William Beaumont Hospital,Internship,/doctors/joshua-friedlander-845573
14,St Mary Medical Center,Internship,/doctors/stanford-schwimer-768974
15,UCLA David Geffen School of Medicine/UCLA Medical Center,Fellowship,/doctors/stanford-schwimer-768974
16,University of Southern California/LACUSC Medical Center,Residency,/doctors/stanford-schwimer-768974
17,Barrow Neurological Institute at St Josephs Hospital and Medical Center,Internship,/doctors/william-deruso-654791
18,Santa Clara Valley Medical Center,Residency,/doctors/william-deruso-654791
19,Kaiser Permanente Northern California,Internship,/doctors/william-deruso-654791
21,Barrow Neurological Institute at St Josephs Hospital and Medical Center,Residency,/doctors/william-deruso-654791
22,Santa Clara Valley Medical Center,Residency,/doctors/william-deruso-654791
23,Kaiser Permanente Northern California,Internship,/doctors/william-deruso-654791
25,Tripler Army Medical Center,Residency,/doctors/alex-freitas-325215
26,Tripler Army Medical Center,Internship,/doctors/alex-freitas-325215
29,National Capital Consortium,Fellowship,/doctors/roy-gottlieb-342457
32,Madigan Army Medical Center,Internship,/doctors/steven-henderson-445804
33,Letterman Army Medical Center,Residency,/doctors/steven-henderson-445804
34,Letterman Army Medical Center,Residency,/doctors/steven-henderson-445804
37,Madigan Army Medical Center,Fellowship,/doctors/steven-henderson-445804
38,Letterman Army Medical Center,Residency,/doctors/steven-henderson-445804
